# Copyright (c) 2009 The Chromium Authors. All rights reserved.
# Use of this source code is governed by a BSD-style license that can be
# found in the LICENSE file.

# Package list created by list_installed_packages.sh
# Creation time: Wed Aug 26 18:28:39 UTC 2009
#
# Contents of /etc/apt/sources.list:
#   deb file:"/tmp/chromeos_setup" local_packages/
#   deb file:///trunk/repo/apt chromeos main restricted multiverse universe
#   deb http://chromeos-deb.corp.google.com/ubuntu karmic main restricted multiverse universe
#
# package_name version priority section repo_filename
acpi 1.4-2 optional universe/utils pool/universe/a/acpi/acpi_1.4-2_i386.deb
acpid 1.0.6-9ubuntu5 optional admin pool/main/a/acpid/acpid_1.0.6-9ubuntu5_i386.deb
adduser 3.110ubuntu6 important admin pool/main/a/adduser/adduser_3.110ubuntu6_all.deb
alsa-base 1.0.20+dfsg-1ubuntu4 optional sound pool/main/a/alsa-driver/alsa-base_1.0.20+dfsg-1ubuntu4_all.deb
alsa-utils 1.0.20-2ubuntu1 optional sound pool/main/a/alsa-utils/alsa-utils_1.0.20-2ubuntu1_i386.deb
anthy 9100h-0ubuntu1 optional utils pool/main/a/anthy/anthy_9100h-0ubuntu1_i386.deb
apt 0.7.21ubuntu1 important admin pool/main/a/apt/apt_0.7.21ubuntu1_i386.deb
apt-utils 0.7.21ubuntu1 important admin pool/main/a/apt/apt-utils_0.7.21ubuntu1_i386.deb
aptitude 0.4.11.11-1ubuntu4 important admin pool/main/a/aptitude/aptitude_0.4.11.11-1ubuntu4_i386.deb
base-files 5.0.0ubuntu6 required admin pool/main/b/base-files/base-files_5.0.0ubuntu6_i386.deb
base-passwd 3.5.21 required admin pool/main/b/base-passwd/base-passwd_3.5.21_i386.deb
bash 3.2-5ubuntu2 required shells pool/main/b/bash/bash_3.2-5ubuntu2_i386.deb
bootchart 0.90.1-3 extra universe/admin pool/universe/b/bootchart/bootchart_0.90.1-3_i386.deb
bootchart-java 0.10~svn407-3ubuntu1 optional universe/admin pool/universe/b/bootchart-java/bootchart-java_0.10~svn407-3ubuntu1_all.deb
bsdutils 1:2.16-1ubuntu1 required utils pool/main/u/util-linux/bsdutils_2.16-1ubuntu1_i386.deb
busybox-initramfs 1:1.13.3-1ubuntu5 important shells pool/main/b/busybox/busybox-initramfs_1.13.3-1ubuntu5_i386.deb
bzip2 1.0.5-3 important utils pool/main/b/bzip2/bzip2_1.0.5-3_i386.deb
ca-certificates 20090701 important misc pool/main/c/ca-certificates/ca-certificates_20090701_all.deb
ca-certificates-java 20090629 optional misc pool/main/c/ca-certificates-java/ca-certificates-java_20090629_all.deb
# Skipped chromeos-connman 0.3 local_packages//chromeos-connman_0.3_i386.deb: local install
# Skipped chromeos-power 0.1 local_packages//chromeos-power_0.1_i386.deb: local install
# Skipped chromeos-assets 0.3 local_packages//chromeos-assets_0.3_i386.deb: local install
# Skipped chromeos-chrome 0.1 local_packages//chromeos-chrome_0.1_i386.deb: local install
# Skipped chromeos-controlpanel 0.2 local_packages//chromeos-controlpanel_0.2_i386.deb: local install
# Skipped chromeos-init 0.2 local_packages//chromeos-init_0.2_i386.deb: local install
# Skipped chromeos-installer 0.1 local_packages//chromeos-installer_0.1_i386.deb: local install
# Skipped chromeos-login 0.3 local_packages//chromeos-login_0.3_i386.deb: local install
# Skipped chromeos-pam-google 0.9 local_packages//chromeos-pam-google_0.9_i386.deb: local install
# Skipped chromeos-wm 0.4 local_packages//chromeos-wm_0.4_i386.deb: local install
console-setup 1.34ubuntu1 important utils pool/main/c/console-setup/console-setup_1.34ubuntu1_all.deb
console-terminus 4.28-1 important utils pool/main/x/xfonts-terminus/console-terminus_4.28-1_all.deb
consolekit 0.3.1-0ubuntu1 optional admin pool/main/c/consolekit/consolekit_0.3.1-0ubuntu1_i386.deb
coreutils 7.4-2 required utils pool/main/c/coreutils/coreutils_7.4-2_i386.deb
cpio 2.10-1ubuntu1 important utils pool/main/c/cpio/cpio_2.10-1ubuntu1_i386.deb
cpp 4:4.4.0-3ubuntu1 standard interpreters pool/main/g/gcc-defaults/cpp_4.4.0-3ubuntu1_i386.deb
cpp-4.4 4.4.1-1ubuntu3 standard interpreters pool/main/g/gcc-4.4/cpp-4.4_4.4.1-1ubuntu3_i386.deb
cron 3.0pl1-106ubuntu1 standard admin pool/main/c/cron/cron_3.0pl1-106ubuntu1_i386.deb
dash 0.5.5.1-2ubuntu2 required shells pool/main/d/dash/dash_0.5.5.1-2ubuntu2_i386.deb
dbus 1.2.16-0ubuntu2 optional devel pool/main/d/dbus/dbus_1.2.16-0ubuntu2_i386.deb
dbus-x11 1.2.16-0ubuntu9 optional x11 pool/main/d/dbus/dbus-x11_1.2.16-0ubuntu9_i386.deb
debconf 1.5.27ubuntu1 required admin pool/main/d/debconf/debconf_1.5.27ubuntu1_all.deb
debconf-i18n 1.5.27ubuntu1 required admin pool/main/d/debconf/debconf-i18n_1.5.27ubuntu1_all.deb
debianutils 2.30ubuntu3 required utils pool/main/d/debianutils/debianutils_2.30ubuntu3_i386.deb
default-jre-headless 1.6-30ubuntu5 optional interpreters pool/main/j/java-common/default-jre-headless_1.6-30ubuntu5_i386.deb
defoma 0.11.10-0.2ubuntu1 optional admin pool/main/d/defoma/defoma_0.11.10-0.2ubuntu1_all.deb
devicekit-disks 006-0ubuntu4 optional admin pool/main/d/devicekit-disks/devicekit-disks_006-0ubuntu4_i386.deb
devicekit-power 010-0ubuntu1 optional admin pool/main/d/devicekit-power/devicekit-power_010-0ubuntu1_i386.deb
dhcp3-client 3.1.2-1ubuntu5 important net pool/main/d/dhcp3/dhcp3-client_3.1.2-1ubuntu5_i386.deb
dhcp3-common 3.1.2-1ubuntu5 important net pool/main/d/dhcp3/dhcp3-common_3.1.2-1ubuntu5_i386.deb
diff 2.8.1-13 required utils pool/main/d/diffutils/diff_2.8.1-13_i386.deb
dmidecode 2.9-1ubuntu1 important utils pool/main/d/dmidecode/dmidecode_2.9-1ubuntu1_i386.deb
dmsetup 2:1.02.27-4ubuntu6 important admin pool/main/d/devmapper/dmsetup_1.02.27-4ubuntu6_i386.deb
dpkg 1.15.3.1ubuntu1 required admin pool/main/d/dpkg/dpkg_1.15.3.1ubuntu1_i386.deb
e2fslibs 1.41.8-1ubuntu2 required libs pool/main/e/e2fsprogs/e2fslibs_1.41.8-1ubuntu2_i386.deb
e2fsprogs 1.41.8-1ubuntu2 required admin pool/main/e/e2fsprogs/e2fsprogs_1.41.8-1ubuntu2_i386.deb
eject 2.1.5+deb1+cvs20081104-6 important utils pool/main/e/eject/eject_2.1.5+deb1+cvs20081104-6_i386.deb
file 5.03-1ubuntu1 important utils pool/main/f/file/file_5.03-1ubuntu1_i386.deb
findutils 4.4.2-1 required utils pool/main/f/findutils/findutils_4.4.2-1_i386.deb
flashplugin-installer 10.0.32.18ubuntu1 optional multiverse/web pool/multiverse/f/flashplugin-nonfree/flashplugin-installer_10.0.32.18ubuntu1_i386.deb
fontconfig 2.6.0-1ubuntu12 optional utils pool/main/f/fontconfig/fontconfig_2.6.0-1ubuntu12_i386.deb
fontconfig-config 2.6.0-1ubuntu12 optional libs pool/main/f/fontconfig/fontconfig-config_2.6.0-1ubuntu12_all.deb
gcc-4.4-base 4.4.1-1ubuntu3 required libs pool/main/g/gcc-4.4/gcc-4.4-base_4.4.1-1ubuntu3_i386.deb
gcj-4.4-base 4.4.1-1ubuntu4 optional libs pool/main/g/gcj-4.4/gcj-4.4-base_4.4.1-1ubuntu4_i386.deb
gcj-4.4-jre 4.4.1-1ubuntu4 optional java pool/main/g/gcj-4.4/gcj-4.4-jre_4.4.1-1ubuntu4_i386.deb
gcj-4.4-jre-headless 4.4.1-1ubuntu4 optional java pool/main/g/gcj-4.4/gcj-4.4-jre-headless_4.4.1-1ubuntu4_i386.deb
gcj-4.4-jre-lib 4.4.1-1ubuntu4 optional java pool/main/g/gcj-4.4/gcj-4.4-jre-lib_4.4.1-1ubuntu4_all.deb
gcj-jre 4:4.4.0-3ubuntu1 optional java pool/main/g/gcc-defaults/gcj-jre_4.4.0-3ubuntu1_i386.deb
gcj-jre-headless 4:4.4.0-3ubuntu1 optional java pool/main/g/gcc-defaults/gcj-jre-headless_4.4.0-3ubuntu1_i386.deb
gconf2 2.26.2-3ubuntu2 optional libs pool/main/g/gconf/gconf2_2.26.2-3ubuntu2_i386.deb
gconf2-common 2.26.2-3ubuntu2 optional libs pool/main/g/gconf/gconf2-common_2.26.2-3ubuntu2_all.deb
gnupg 1.4.9-4ubuntu5 important utils pool/main/g/gnupg/gnupg_1.4.9-4ubuntu5_i386.deb
gob2 2.0.16-1 extra devel pool/main/g/gob2/gob2_2.0.16-1_i386.deb
gpgv 1.4.9-4ubuntu5 important utils pool/main/g/gnupg/gpgv_1.4.9-4ubuntu5_i386.deb
grep 2.5.4-4 required utils pool/main/g/grep/grep_2.5.4-4_i386.deb
gzip 1.3.12-8ubuntu1 required utils pool/main/g/gzip/gzip_1.3.12-8ubuntu1_i386.deb
# Skipped hal 1.0 local_packages//hal_1.0_i386.deb: local install
hicolor-icon-theme 0.10-2 optional misc pool/main/h/hicolor-icon-theme/hicolor-icon-theme_0.10-2_all.deb
hostname 2.95 required admin pool/main/h/hostname/hostname_2.95_i386.deb
icedtea-6-jre-cacao 6b16~pre5-0ubuntu2 extra interpreters pool/main/o/openjdk-6/icedtea-6-jre-cacao_6b16~pre5-0ubuntu2_i386.deb
ifupdown 0.6.8ubuntu19 important admin pool/main/i/ifupdown/ifupdown_0.6.8ubuntu19_i386.deb
im-switch 1.16ubuntu1 optional x11 pool/main/i/im-switch/im-switch_1.16ubuntu1_all.deb
initramfs-tools 0.92bubuntu39 important utils pool/main/i/initramfs-tools/initramfs-tools_0.92bubuntu39_all.deb
initscripts 2.86.ds1-61ubuntu16 required admin pool/main/s/sysvinit/initscripts_2.86.ds1-61ubuntu16_i386.deb
iproute 20090324-1 important net pool/main/i/iproute/iproute_20090324-1_i386.deb
iptables 1.4.4-1ubuntu1 standard net pool/main/i/iptables/iptables_1.4.4-1ubuntu1_i386.deb
iputils-ping 3:20071127-1build1 important net pool/main/i/iputils/iputils-ping_20071127-1build1_i386.deb
iso-codes 3.10.2-1 standard libs pool/main/i/iso-codes/iso-codes_3.10.2-1_all.deb
iw 0.9.14-1 optional universe/net pool/universe/i/iw/iw_0.9.14-1_i386.deb
java-common 0.30ubuntu5 optional misc pool/main/j/java-common/java-common_0.30ubuntu5_all.deb
kbd 1.15-1ubuntu1 important utils pool/main/k/kbd/kbd_1.15-1ubuntu1_i386.deb
klibc-utils 1.5.15-1 important libs pool/main/k/klibc/klibc-utils_1.5.15-1_i386.deb
laptop-detect 0.13.7ubuntu1 important utils pool/main/l/laptop-detect/laptop-detect_0.13.7ubuntu1_i386.deb
less 429-2 important text pool/main/l/less/less_429-2_i386.deb
libacl1 2.2.47-2 required libs pool/main/a/acl/libacl1_2.2.47-2_i386.deb
libanthy0 9100h-0ubuntu1 optional libs pool/main/a/anthy/libanthy0_9100h-0ubuntu1_i386.deb
libasound2 1.0.20-3ubuntu3 optional libs pool/main/a/alsa-lib/libasound2_1.0.20-3ubuntu3_i386.deb
libasound2-plugins 1.0.20-1ubuntu6 optional libs pool/main/a/alsa-plugins/libasound2-plugins_1.0.20-1ubuntu6_i386.deb
libatasmart4 0.16-1 optional libs pool/main/liba/libatasmart/libatasmart4_0.16-1_i386.deb
libatk1.0-0 1.27.90-0ubuntu1 optional libs pool/main/a/atk1.0/libatk1.0-0_1.27.90-0ubuntu1_i386.deb
libatk1.0-data 1.27.90-0ubuntu1 optional misc pool/main/a/atk1.0/libatk1.0-data_1.27.90-0ubuntu1_all.deb
libatm1 2.4.1-17.2 important libs pool/main/l/linux-atm/libatm1_2.4.1-17.2_i386.deb
libattr1 1:2.4.43-3 required libs pool/main/a/attr/libattr1_2.4.43-3_i386.deb
libaudio2 1.9.2-1 optional libs pool/main/n/nas/libaudio2_1.9.2-1_i386.deb
libavahi-client3 0.6.25-1ubuntu5 optional libs pool/main/a/avahi/libavahi-client3_0.6.25-1ubuntu5_i386.deb
libavahi-common-data 0.6.25-1ubuntu5 optional libs pool/main/a/avahi/libavahi-common-data_0.6.25-1ubuntu5_i386.deb
libavahi-common3 0.6.25-1ubuntu5 optional libs pool/main/a/avahi/libavahi-common3_0.6.25-1ubuntu5_i386.deb
libblkid1 2.16-1ubuntu1 required libs pool/main/u/util-linux/libblkid1_2.16-1ubuntu1_i386.deb
libbz2-1.0 1.0.5-3 important libs pool/main/b/bzip2/libbz2-1.0_1.0.5-3_i386.deb
libc6 2.10.1-0ubuntu6 required libs pool/main/e/eglibc/libc6_2.10.1-0ubuntu6_i386.deb
libc6-i686 2.10.1-0ubuntu6 important libs pool/main/e/eglibc/libc6-i686_2.10.1-0ubuntu6_i386.deb
libcairo2 1.8.8-2ubuntu1 optional libs pool/main/c/cairo/libcairo2_1.8.8-2ubuntu1_i386.deb
libcap2 1:2.16-5ubuntu1 important libs pool/main/libc/libcap2/libcap2_2.16-5ubuntu1_i386.deb
libchewing3 0.3.2-1 optional libs pool/main/libc/libchewing/libchewing3_0.3.2-1_i386.deb
libchewing3-data 0.3.2-1 optional misc pool/main/libc/libchewing/libchewing3-data_0.3.2-1_i386.deb
libck-connector0 0.3.1-0ubuntu1 optional libs pool/main/c/consolekit/libck-connector0_0.3.1-0ubuntu1_i386.deb
libclass-accessor-perl 0.33-1 important perl pool/main/libc/libclass-accessor-perl/libclass-accessor-perl_0.33-1_all.deb
libcloog-ppl0 0.15-1 standard libs pool/main/c/cloog-ppl/libcloog-ppl0_0.15-1_i386.deb
libclutter-0.9-0 0.9.8-0ubuntu1 optional universe/libs pool/universe/c/clutter-0.9/libclutter-0.9-0_0.9.8-0ubuntu1_i386.deb
libcomerr2 1.41.8-1ubuntu2 required libs pool/main/e/e2fsprogs/libcomerr2_1.41.8-1ubuntu2_i386.deb
libcommons-cli-java 1.1-3ubuntu1 optional universe/libs pool/universe/libc/libcommons-cli-java/libcommons-cli-java_1.1-3ubuntu1_all.deb
libcommons-compress-java 0~svn604876-1 optional universe/libs pool/universe/libc/libcommons-compress-java/libcommons-compress-java_0~svn604876-1_all.deb
libcommons-lang-java 2.4-1ubuntu1 optional libs pool/main/libc/libcommons-lang-java/libcommons-lang-java_2.4-1ubuntu1_all.deb
libcups2 1.3.11-1ubuntu1 optional libs pool/main/c/cups/libcups2_1.3.11-1ubuntu1_i386.deb
libcurl3 7.19.5-1ubuntu2 optional libs pool/main/c/curl/libcurl3_7.19.5-1ubuntu2_i386.deb
libcurl3-gnutls 7.19.5-1ubuntu1 important libs pool/main/c/curl/libcurl3-gnutls_7.19.5-1ubuntu1_i386.deb
libcwidget3 0.5.12-4ubuntu2 important libs pool/main/c/cwidget/libcwidget3_0.5.12-4ubuntu2_i386.deb
libdatrie1 0.2.2-1 optional libs pool/main/libd/libdatrie/libdatrie1_0.2.2-1_i386.deb
libdb4.7 4.7.25-7ubuntu2 required libs pool/main/d/db/libdb4.7_4.7.25-7ubuntu2_i386.deb
libdbus-1-3 1.2.16-0ubuntu2 required libs pool/main/d/dbus/libdbus-1-3_1.2.16-0ubuntu2_i386.deb
libdbus-glib-1-2 0.80-4 optional libs pool/main/d/dbus-glib/libdbus-glib-1-2_0.80-4_i386.deb
libdevkit-power-gobject1 010-0ubuntu1 optional libs pool/main/d/devicekit-power/libdevkit-power-gobject1_010-0ubuntu1_i386.deb
libdevmapper1.02.1 2:1.02.27-4ubuntu6 important libs pool/main/d/devmapper/libdevmapper1.02.1_1.02.27-4ubuntu6_i386.deb
